id,sexo,edad,edad_r,hab,prov,ccaa,hijos,edu,cs,p1,p2,p3,p4,p5_1,p5_2,p5_3,p5_4,p6,p7,p8_1,p8_2,p8_3,p8_4,p8_5,p8_6,p8_7,p8_8,p8_9,p9_1,p9_2,p9_3,p9_4,p9_5,p9_6,p9_7,p9_8,p9_9,p10,p11_1,p11_2,p11_3,p11_4,p11_5,p11_6,p12,p13_1,p13_2,p13_3,p13_4,p13_5,p13_6,p13_7,p13_8,hab_r,clase_social_r,situacion_laboral_r,educacion_r,ponde
11,Hombre,66,65+,100.001 - 500.000,"Coruña, A",Galicia,"Sí, con uno/a de 18 años o más",Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,C,Ahorro/se ahorra un poco de dinero cada mes,5,PP (Partido Popular),PP (Partido Popular),0 no le votaría nunca,8,5,0 no le votaría nunca,PP (Partido Popular),6,Poco,Bastante,Mucho,Mucho,Bastante,Bastante,Mucho,Bastante,Bastante,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,"Sí, he oído hablar de ella",Muy de acuerdo,Poco de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Poco de acuerdo,Muy de acuerdo,Con ninguno de los dos,No lo sé,No lo sé,Muy mal,Muy mal,Muy mal,Muy mal,Bien,No lo sé,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",0.8760362868528337
12,Mujer,68,65+,20.001 - 50.000,Girona,Cataluña,No convivo con ningún/a hijo/a,"Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa, o 1º y 2º de ESO, hasta los 14 años)",D,Ahorro/se ahorra un poco de dinero cada mes,5,Votaría en blanco,Ninguno,6,0 no le votaría nunca,0 no le votaría nunca,2,PSOE (Partido Socialista Obrero Español),5,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Bastante,Mucho,Bastante,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,"Sí, he oído hablar de ella",No lo sé,Nada de acuerdo,Bastante de acuerdo,Nada de acuerdo,Muy de acuerdo,No lo sé,Con ninguno de los dos,Muy mal,Muy mal,Muy mal,Muy mal,Muy mal,Muy mal,Muy mal,Muy mal,Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, primer ciclo y menos",1.2515790788796821
13,Hombre,53,45-54,50.001 - 100.000,Segovia,Castilla y León,No convivo con ningún/a hijo/a,Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,E1,Llego/se llega justo a final de mes,"0 con toda seguridad, NO iría a votar",No votaría,Ninguno,0 no le votaría nunca,0 no le votaría nunca,1,0 no le votaría nunca,No voté,10 extrema derecha,Nada,Mucho,Mucho,Mucho,Mucho,Mucho,No lo sé,Mucho,Nada,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,"Sí, he seguido con cierto detalle las noticias sobre la guerra",No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,Muy mal,Muy mal,Muy mal,Muy mal,Muy mal,Muy mal,Muy mal,Muy mal,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",1.1414186104237969
14,Hombre,44,35-44,20.001 - 50.000,"Coruña, A",Galicia,"Sí, con uno/a de 9 a 12 años","Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa, o 1º y 2º de ESO, hasta los 14 años)",C,Ahorro/se ahorra bastante dinero cada mes,9,Votaría en blanco,No lo sé,0 no le votaría nunca,0 no le votaría nunca,0 no le votaría nunca,0 no le votaría nunca,No lo sé,9,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,"Sí, he seguido con cierto detalle las noticias sobre la guerra",Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Con ambos por igual,Muy mal,Muy mal,Muy mal,Muy mal,Muy mal,Muy mal,Muy mal,Muy mal,Más de 10.000,Media,Trabaja,"Segundo grado, primer ciclo y menos",1.045858819708567
15,Mujer,55,55-64,10.001 - 20.000,Toledo,Castilla - La Mancha,"Sí, con uno/a de 18 años o más","Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa, o 1º y 2º de ESO, hasta los 14 años)",C,He tenido/se ha tenido que echar mano del ahorro,7,PSOE (Partido Socialista Obrero Español),PSOE (Partido Socialista Obrero Español),9,0 no le votaría nunca,0 no le votaría nunca,0 no le votaría nunca,PSOE (Partido Socialista Obrero Español),1,Bastante,Bastante,Poco,Bastante,Bastante,Poco,Bastante,Poco,Poco,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,"Sí, he oído hablar de ella",No lo sé,Poco de acuerdo,Poco de acuerdo,No lo sé,No lo sé,Bastante de acuerdo,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,Más de 10.000,Media,Trabajo del hogar no remunerado,"Segundo grado, primer ciclo y menos",0.893224607585764
16,Mujer,40,35-44,< 10.000,Cáceres,Extremadura,No convivo con ningún/a hijo/a,Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 años Escuelas universitarias Ingenieros técnicos Arquitecto,C,Llego/se llega justo a final de mes,9,PP (Partido Popular),PP (Partido Popular),1,8,7,0 no le votaría nunca,PP (Partido Popular),7,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Bastante,Bastante,Bastante,Siento o he sentido desánimo y/o pesimismo,"Sufro o he sufrido ansiedad, depresión",Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,"Sí, he seguido con cierto detalle las noticias sobre la guerra",Poco de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Muy de acuerdo,Con ambos por igual,Regular,Bien,Regular,Mal,Mal,Muy mal,Regular,Regular,Menos de 10.000,Media,Trabaja,"Tercer grado, primer ciclo",1.0725377317928837
17,Mujer,48,45-54,20.001 - 50.000,Santa Cruz de Tenerife,Canarias,No convivo con ningún/a hijo/a,Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,D,He tenido/se ha tenido que echar mano del ahorro,9,PSOE (Partido Socialista Obrero Español),PSOE (Partido Socialista Obrero Español),9,0 no le votaría nunca,0 no le votaría nunca,0 no le votaría nunca,PSOE (Partido Socialista Obrero Español),1,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,"Sí, he oído hablar de ella",No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,Con ninguno de los dos,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",0.9611165813101977
18,Mujer,48,45-54,100.001 - 500.000,Bizkaia,País Vasco,No convivo con ningún/a hijo/a,"Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados superiores, Facultades, Escuelas técnicas superiores, etc.",C,Ahorro/se ahorra un poco de dinero cada mes,"10 con toda seguridad, iría a votar",PP (Partido Popular),PP (Partido Popular),2,8,5,0 no le votaría nunca,No voté,7,Bastante,Mucho,Mucho,Mucho,Mucho,Mucho,Bastante,Bastante,Mucho,Siento o he sentido desánimo y/o pesimismo,"Sufro o he sufrido ansiedad, depresión",Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,No he sentido nada esto,"Sufro o he sufrido ansiedad, depresión","Sí, he seguido con cierto detalle las noticias sobre la guerra",Poco de acuerdo,Nada de acuerdo,Muy de acuerdo,Muy de acuerdo,Poco de acuerdo,Bastante de acuerdo,Con ninguno de los dos,Regular,Bien,Regular,Regular,No lo sé,No lo sé,No lo sé,No lo sé,Más de 10.000,Media,Parado,"Tercer grado, segundo ciclo y más",0.7494600321694739
19,Hombre,70,65+,20.001 - 50.000,Valencia/València,Comunitat Valenciana,"Sí, con uno/a de 18 años o más",Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,C,Ahorro/se ahorra un poco de dinero cada mes,"10 con toda seguridad, iría a votar",Vox,Vox,1,6,8,0 no le votaría nunca,Vox,6,No lo sé,Bastante,Mucho,Mucho,Bastante,Poco,Poco,Mucho,Poco,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,"Sí, he seguido con cierto detalle las noticias sobre la guerra",Poco de acuerdo,Nada de acuerdo,Poco de acuerdo,No lo sé,No lo sé,Muy de acuerdo,Con ninguno de los dos,Bien,Bien,Mal,Regular,Mal,Muy mal,Bien,Regular,Más de 10.000,Media,Pensionista,"Segundo grado, segundo ciclo",1.08186726816133
20,Mujer,47,45-54,50.001 - 100.000,Valencia/València,Comunitat Valenciana,"Sí, con uno/a de 13 a 17 años",Tercer grado (Doctorado),A1,Ahorro/se ahorra bastante dinero cada mes,"10 con toda seguridad, iría a votar",PSOE (Partido Socialista Obrero Español),PSOE (Partido Socialista Obrero Español),9,3,0 no le votaría nunca,7,PSOE (Partido Socialista Obrero Español),3,Mucho,No lo sé,Poco,Bastante,Bastante,Bastante,Bastante,Mucho,Poco,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,"Sufro o he sufrido ansiedad, depresión","Sí, he seguido con cierto detalle las noticias sobre la guerra",Nada de acuerdo,Bastante de acuerdo,Nada de acuerdo,Muy de acuerdo,Muy de acuerdo,No lo sé,Con Palestina,Regular,Regular,Muy mal,Regular,No lo sé,No lo sé,Muy mal,Muy mal,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",1.0829986973073542
21,Mujer,27,25-34,10.001 - 20.000,Barcelona,Cataluña,"Sí, con uno/a de 0 a 8 años",Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,D,Llego/se llega justo a final de mes,2,Votaría nulo,ERC (Esquerra Republicana de Catalunya),0 no le votaría nunca,0 no le votaría nunca,0 no le votaría nunca,1,Sumar,No lo sé,Mucho,Bastante,Mucho,Bastante,Mucho,Mucho,Bastante,Mucho,Mucho,"Sufro o he sufrido ansiedad, depresión",Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,"Sufro o he sufrido ansiedad, depresión","Sufro o he sufrido ansiedad, depresión","Sufro o he sufrido ansiedad, depresión",Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,"Sí, he seguido con cierto detalle las noticias sobre la guerra",Poco de acuerdo,No lo sé,Poco de acuerdo,Muy de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Con ambos por igual,Mal,Mal,Mal,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",1.1222323400018324
22,Mujer,48,45-54,10.001 - 20.000,"Rioja, La","Rioja, La","Sí, con uno/a de 13 a 17 años","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados superiores, Facultades, Escuelas técnicas superiores, etc.",A2,Llego/se llega justo a final de mes,"0 con toda seguridad, NO iría a votar",Votaría en blanco,Ninguno,0 no le votaría nunca,0 no le votaría nunca,0 no le votaría nunca,0 no le votaría nunca,No voté,No lo sé,Bastante,Bastante,Poco,Mucho,Mucho,Bastante,Poco,Poco,Poco,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,"Sufro o he sufrido ansiedad, depresión",Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,"Sí, he oído hablar de ella",No lo sé,Poco de acuerdo,No lo sé,No lo sé,Poco de acuerdo,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",1.115622624193509
23,Mujer,60,55-64,50.001 - 100.000,Málaga,Andalucía,"Sí, con uno/a de 18 años o más",Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,E1,He tenido/se ha tenido que echar mano del ahorro,"10 con toda seguridad, iría a votar",Sumar,Sumar,5,0 no le votaría nunca,0 no le votaría nunca,10 le votaría siempre,Sumar,4,Mucho,Bastante,Poco,Bastante,Mucho,Bastante,Poco,Mucho,Poco,"Sufro o he sufrido ansiedad, depresión","Sufro o he sufrido ansiedad, depresión",No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,"Sí, he seguido con cierto detalle las noticias sobre la guerra",Nada de acuerdo,Muy de acuerdo,Nada de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Con Palestina,Regular,Mal,Muy mal,Muy bien,Muy bien,Muy bien,Muy mal,Muy mal,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",0.9228788193202196
